group,names,scores,logfoldchanges,pvals,pvals_adj
8,KRTAP5-2,-0.00861232,0.4720859,0.9931284480691768,0.9990280404479022
8,POU4F1,-0.008616897,-0.26120096,0.9931247959180356,0.9990280404479022
8,CELSR2,-0.0086955065,0.6329062,0.9930620772680975,0.9990280404479022
8,PCDH19,-0.008842689,0.88454777,0.9929446467199667,0.9990280404479022
8,KASH5,-0.009168173,0.763788,0.9926849585990247,0.9990280404479022
8,ALPI,-0.00930827,0.51319516,0.9925731823263139,0.9990280404479022
8,THSD8,-0.0097233225,0.46694615,0.9922420332526537,0.9990280404479022
8,PPFIA3,-0.009996518,0.6068008,0.9920240655478714,0.9990280404479022
8,OR2T27,-0.010002196,-14.856812,0.9920195355341652,0.9990280404479022
8,DEPRECATED_CELA2A,-0.010002196,-15.006007,0.9920195355341652,0.9990280404479022
8,TCP11X1,-0.010002196,-14.453223,0.9920195355341652,0.9990280404479022
8,IVL,-0.010278648,0.9345529,0.9917989698319977,0.9990280404479022
8,EEF1A2,-0.010548058,0.85118014,0.9915840233463481,0.9990280404479022
8,RIMBP3,-0.010557873,-15.0141535,0.9915761924369721,0.9990280404479022
8,DEPRECATED_FAM47C,-0.010557873,-15.190506,0.9915761924369721,0.9990280404479022
8,TWIST1,-0.011108797,0.7470065,0.9911366444658715,0.9990280404479022
8,LOXL1,-0.011334898,0.6977421,0.9909562539348002,0.9990280404479022
8,INS,-0.011390795,0.37121695,0.9909116567749501,0.9990280404479022
8,PACSIN1,-0.01139194,0.13329676,0.990910743762525,0.9990280404479022
8,DEPRECATED_DEFA5,-0.011530804,0.107030936,0.9907999533050232,0.9990280404479022
8,GRM4,-0.011530804,0.4938792,0.9907999533050232,0.9990280404479022
8,CCDC177,-0.011530892,0.013205805,0.9907998830734105,0.9990280404479022
8,TOMM20L,-0.011530892,0.016554158,0.9907998830734105,0.9990280404479022
8,ZSCAN10,-0.0115309805,0.16262949,0.9907998128417979,0.9990280404479022
8,LACTBL1,-0.01153142,-0.41167128,0.9907994616837356,0.9990280404479022
8,PCDHA8,-0.011669229,-15.344183,0.9906895141824202,0.9990280404479022
8,DEPRECATED_ENSG00000183791,-0.011669229,-15.452278,0.9906895141824202,0.9990280404479022
8,KRT81,-0.011669229,-14.969737,0.9906895141824202,0.9990280404479022
8,CRH,-0.011945416,0.78816605,0.9904691632090381,0.9990280404479022
8,USH1G,-0.011946913,0.44056234,0.9904679692774422,0.9990280404479022
8,DEPRECATED_CYP2D6,-0.012086878,-0.36601233,0.9903563016523098,0.9990280404479022
8,DEPRECATED_MCCD1,-0.012086878,-0.41415197,0.9903563016523098,0.9990280404479022
8,CDY2A,-0.012087142,-0.38751113,0.9903560909588554,0.9990280404479022
8,FTHL17,-0.012224906,-15.378194,0.990246179298814,0.9990280404479022
8,ACTA1,-0.012330759,0.5879831,0.9901617265355179,0.9990280404479022
8,LY6H,-0.012539563,0.6510306,0.9899951389556118,0.9990280404479022
8,LRRTM3,-0.012579659,0.38981014,0.9899631488524232,0.9990280404479022
8,UPK2,-0.012641983,-0.02095065,0.9899134255188158,0.9990280404479022
8,UROC1,-0.012642248,-0.0987842,0.9899132148268074,0.9990280404479022
8,ZNRF4,-0.012642776,-0.56961834,0.9899127934427928,0.9990280404479022
8,AIRE,-0.012644095,-1.0331382,0.9899117399827687,0.9990280404479022
8,C5orf47,-0.012780583,-15.390774,0.989802847426818,0.9990280404479022
8,KLK14,-0.012780583,-14.8962555,0.989802847426818,0.9990280404479022
8,PPY,-0.013056772,0.76113725,0.9895824994809675,0.9990280404479022
8,HBE1,-0.013336261,-15.496898,0.989359518703302,0.9990280404479022
8,GDF7,-0.013445768,0.4467517,0.9892721526022114,0.9990280404479022
8,GPR179,-0.013880715,0.7676782,0.988925147527709,0.9990280404479022
8,TP53TG3D,-0.014167863,0.7727111,0.988696059306621,0.9990280404479022
8,SAGE1,-0.014308884,0.3888172,0.9885835521880252,0.9990280404479022
8,ACTL7B,-0.014308971,-0.043492127,0.9885834819589332,0.9990280404479022
8,DCST1,-0.014447616,-15.451433,0.9884728712491729,0.9990280404479022
8,TUBB4A,-0.014447616,-15.491118,0.9884728712491729,0.9990280404479022
8,FRMD7,-0.0145805385,0.73119736,0.9883668256338546,0.9990280404479022
8,TEPP,-0.014723628,0.28447598,0.9882526688121579,0.9990280404479022
8,PASD1,-0.0147253005,0.08393883,0.9882513344674589,0.9990280404479022
